"","SubID","socialConnectedness_mean","time","loneliness_mean","traitEmpathyIRI_mean","traitEmpathyIRI_fant_mean","traitEmpathyIRI_PT_mean","traitEmpathyIRI_EC_mean","traitEmpathyIRI_PD_mean","IOS_immediateFamily","IOS_immediateFamilyNum","IOS_extendedFamily","IOS_extendedFamilyNum","IOS_friend","IOS_friendNum","IOS_acquaintance","IOS_acquaintanceNum","IOS_strangerNum","inclusionOtherSelf_mean","inclusionOtherSelf_mean_nostranger","wellbeingPresent","wellbeingFuture","wellbeing_mean","attentionCheck1","attentionCheck2","attentionCheck3","socialConnectedness_mean_T1","loneliness_mean_T1","traitEmpathyIRI_mean_T1","traitEmpathyIRI_fant_mean_T1","traitEmpathyIRI_PT_mean_T1","traitEmpathyIRI_EC_mean_T1","traitEmpathyIRI_PD_mean_T1","IOS_immediateFamily_T1","IOS_immediateFamilyNum_T1","IOS_extendedFamily_T1","IOS_extendedFamilyNum_T1","IOS_friend_T1","IOS_friendNum_T1","IOS_acquaintance_T1","IOS_acquaintanceNum_T1","IOS_strangerNum_T1","inclusionOtherSelf_mean_T1","inclusionOtherSelf_mean_nostranger_T1","wellbeingPresent_T1","wellbeingFuture_T1","wellbeing_mean_T1","priorMedExpClosed","priorMedExpOpen","priorMedExpHours","age","agefull","birth","pronouns","yearslivedUS","UserLang","firstLangEng","yearsspeakingEng","zip","EnglishProficiency","jobtitle","householdNum","householdComp1","householdComp2","householdComp3","householdComp4","politicalIssues","socialIssues","economicIssues","evangelic","spirituality","gender","ethnicity","ethnicityDescribe","education","educationfull","employment","employmentDescribe","employmentfull","income","incomefull","religionAffiliation","religionStrength","handedness","Female","Male","Other_gender","NoCollegeDegree","YesCollegeDegree","Lower","Upper","Dont_know","Employed","Unemployed","Student","Other_employment","White","Black","Hispanic","OtherRace","Asian","Other","recruited","openQuestion","commitmentRequest","attentionCheck1_T1","attentionCheck2_T1","attentionCheck3_T1","socialConnectedness_mean_T2","loneliness_mean_T2","traitEmpathyIRI_mean_T2","traitEmpathyIRI_fant_mean_T2","traitEmpathyIRI_PT_mean_T2","traitEmpathyIRI_EC_mean_T2","traitEmpathyIRI_PD_mean_T2","IOS_immediateFamily_T2","IOS_immediateFamilyNum_T2","IOS_extendedFamily_T2","IOS_extendedFamilyNum_T2","IOS_friend_T2","IOS_friendNum_T2","IOS_acquaintance_T2","IOS_acquaintanceNum_T2","IOS_strangerNum_T2","inclusionOtherSelf_mean_T2","inclusionOtherSelf_mean_nostranger_T2","wellbeingPresent_T2","wellbeingFuture_T2","wellbeing_mean_T2","attentionCheck1_T2","attentionCheck2_T2","attentionCheck3_T2","GroupID","medFinish","medStart","medEnd","medNumCompleted","medPercentageCompleted","medicationsScanday"
"1",1,4,1,2.4,3.46428571428571,3.71428571428571,3.14285714285714,4,3,"Spouse - Wife",5,"Neice",2,"College Friend",3,"Neighbor",2,1,2.6,3,7,8,7.5,"6","1","2",4,2.4,3.46428571428571,3.71428571428571,3.14285714285714,4,3,"Spouse - Wife",5,"Neice",2,"College Friend",3,"Neighbor",2,1,2.6,3,7,8,7.5,"2","","","41","middle adult","","","42","EN","1","","20007","","Director, Transaction Review Group","4","1","3","2","1","2","2","4","","5","male","White","","YesCollegeDegree","Doctoral or professional degree (for example, Ph.D., M.D., J.D., D.V.M., D.D.M.)","Employed","","1,10","Upper","Over $180,000","Roman Catholic","2","Right",0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"At the Key School science fair","","","6","1","2",4.65,1.9,3.39285714285714,3.42857142857143,3.71428571428571,4.14285714285714,2.28571428571429,"Child",7,"Neice",5,"College Friend",5,"Neighbor",4,4,5,5.25,8,8,8,"6","1","2","LKM",1,"2/6","3/4",23,95.83,"Methylphenidate, zyrtec, wellbutrin"
"2",2,4.5,1,2.3,3.96428571428571,4.28571428571429,3.57142857142857,5,3,"spouse",4,"aunt",2,"childhood friend",3,"neighbor",1,1,2.2,2.5,7,8,7.5,"6","1","2",4.5,2.3,3.96428571428571,4.28571428571429,3.57142857142857,5,3,"spouse",4,"aunt",2,"childhood friend",3,"neighbor",1,1,2.2,2.5,7,8,7.5,"2","","","40","middle adult","","","41","EN","1","","20007","","Child Welfare Program Specialist. I manage federal grants, contracts, and other initiatives designed to improve child and family well-being through enhanced supports for communities and child welfare agencies.","4","1","3","1","1","2","1","3","","4","female","White","","YesCollegeDegree","Masters degree (for example, M.B.A., M.A., M.S.)","Employed","","Employed full-time for pay","Upper","Over $180,000","Jewish","1","Right",1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,"Flyer at Key Science Night","","","6","1","2",4.6,2.35,4.07142857142857,4.14285714285714,3.71428571428571,4.85714285714286,3.57142857142857,"Spouse",5,"Aunt",2,"Friend",3,"Childcare provider",1,1,2.4,2.75,7,8,7.5,"6","1","2","PMR",1,"2/6/2023","3/4/2023",23,95.83,"celexa, enbrel"
"3",3,2.8,1,2.95,3.57142857142857,4.14285714285714,3.71428571428571,4.57142857142857,1.85714285714286,"Sibling",5,"Cousin",3,"Friend",4,"Coworker",2,1,3,3.5,8,8,8,"6","1","2",2.8,2.95,3.57142857142857,4.14285714285714,3.71428571428571,4.57142857142857,1.85714285714286,"Sibling",5,"Cousin",3,"Friend",4,"Coworker",2,1,3,3.5,8,8,8,"2","","","19","young adult","","","20","EN","1","","20057","","Front desk employee - SFS Dean's Office
Full-time Student, Georgetown University","2","1","1","1","2","2","2","4","","1","female","White","","NoCollegeDegree","Some college","Employed","","2,5","Lower","Under $5,000","Atheist","1","Right",1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"From a friend who is participating","","","6","1","2",3.6,2.65,3.64285714285714,4.28571428571429,3.85714285714286,4.42857142857143,2,"Sibling",5,"Cousin",3,"Friend from school",4,"Neighbor",2,1,3,3.5,8,9,8.5,"6","1","2","PMR",1,"2/13/2023","3/11/2023",24,100,"minocycline 50mg/day"
"4",4,5.2,1,1.65,4.03571428571429,4.57142857142857,3.85714285714286,4.71428571428571,3,"Parent (mother)",3,"Grandparent (grandmother)",2,"College Friend",5,"classmate",1,1,2.4,2.75,5,8,6.5,"6","1","2",5.2,1.65,4.03571428571429,4.57142857142857,3.85714285714286,4.71428571428571,3,"Parent (mother)",3,"Grandparent (grandmother)",2,"College Friend",5,"classmate",1,1,2.4,2.75,5,8,6.5,"2","","","20","young adult","","","21","EN","1","","20057","","research assistant and office assistant","4","1","1","1","4","2","2","2","","1","female","White","","NoCollegeDegree","Some college","Employed","","Employed part-time for pay","Lower","Under $5,000","Atheist","1","Right",1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,"Flyer posted at Georgetown","nope","","6","1","2",4.95,2.2,3.46428571428571,5,2.28571428571429,4.14285714285714,2.42857142857143,"Mother",3,"Grandmother",2,"Best friend",4,"Roommate",2,1,2.4,2.75,5,8,6.5,"6","1","2","PMR",1,"2/6/2023","3/4/2023",24,100,"n/a"
"5",5,4.95,1,1.55,3.82142857142857,3.14285714285714,4.42857142857143,5,2.71428571428571,"Dad",6,"Grandpa",5,"College friend",6,"neighbor",2,1,4,4.75,7,10,8.5,"6","1","2",4.95,1.55,3.82142857142857,3.14285714285714,4.42857142857143,5,2.71428571428571,"Dad",6,"Grandpa",5,"College friend",6,"neighbor",2,1,4,4.75,7,10,8.5,"2","","","19","young adult","05/15/03","2","10","EN","1","","77573","","student-athlete ","4","3","2","1","1","5","4","5","","2","male","White","","NoCollegeDegree","High school graduate or G.E.D.","Student","","Full-time student","Upper","Over $180,000","Atheist","2","Right",0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,"friend","no","","6","1","2",5.45,2,3.5,4,4.28571428571429,4.71428571428571,1,"Sister ",7,"Aunt",4,"Teammate",7,"Neighbors ",2,1,4.2,5,7,10,8.5,"6","1","2","PMR",1,"2/6/2023","3/4/2023",21,87.5,"n/a"
"6",6,4.5,1,1.95,3.17857142857143,3.85714285714286,3,3,2.85714285714286,"sister",4,"cousin",2,"friend from college club",5,"someone who lives on my floor",2,1,2.8,3.25,9,8,8.5,"6","1","2",4.5,1.95,3.17857142857143,3.85714285714286,3,3,2.85714285714286,"sister",4,"cousin",2,"friend from college club",5,"someone who lives on my floor",2,1,2.8,3.25,9,8,8.5,"2","","","19","young adult","8/28/2003","1","20","EN","1","","37221","","I am a Student Assistant in Access Services at Lauinger Library","4","3","2","1","1","2","1","2","","3","female","White","","NoCollegeDegree","Some college","Employed","","2,5","Upper","$90,000 - $179,999","Agnostic","4","Right",1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"My friend texted me a picture of a flyer for it she found.","","","6","1","2",4.45,1.9,3.28571428571429,4,3.28571428571429,2.71428571428571,3.14285714285714,"sister",4,"cousin",2,"college friend",6,"classmate",2,1,3,3.5,9,8,8.5,"6","1","2","PMR",1,"2/6/2023","3/4/2023",21,87.5,"n/a"
"7",7,5.05,1,1.6,4,2.85714285714286,4.42857142857143,4.57142857142857,4.14285714285714,"My mom and I are very close. Although our personalities are different, I feel a closeness to her that I don't feel with many other people. She is very generous towards me and we always have a good laugh when we're together.",5,"My grandmother and I are close and I feel much love and care from her. Although I don't see her that often, I really enjoy seeing her and she makes me laugh a lot together.  ",4,"My roommate and I are very close. When I come back home after a long day, she always lifts my mood. Although I'm usually not open about personal things with most people but I feel that I can share most things with her. ",4,"I don't feel any particular closeness to people working in my dining but I definitely try to be as friendly to them and they always reciprocate. ",3,2,3.6,4,10,10,10,"6","1","2",5.05,1.6,4,2.85714285714286,4.42857142857143,4.57142857142857,4.14285714285714,"My mom and I are very close. Although our personalities are different, I feel a closeness to her that I don't feel with many other people. She is very generous towards me and we always have a good laugh when we're together.",5,"My grandmother and I are close and I feel much love and care from her. Although I don't see her that often, I really enjoy seeing her and she makes me laugh a lot together.  ",4,"My roommate and I are very close. When I come back home after a long day, she always lifts my mood. Although I'm usually not open about personal things with most people but I feel that I can share most things with her. ",4,"I don't feel any particular closeness to people working in my dining but I definitely try to be as friendly to them and they always reciprocate. ",3,2,3.6,4,10,10,10,"2","","","20","young adult","10/30/2002","1","2","EN","1","","20057","","Student ","2","1","1","1","2","2","2","2","","4","female","Hispanic","","NoCollegeDegree","Some college","Student","","Full-time student","Dont_know","Dont know","Nothing","2","Right",1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"Through my university","","","6","1","2",5.45,1.45,4.32142857142857,3.85714285714286,4.57142857142857,4.85714285714286,4,"sibling",6,"grandmother, feel close to her. While we sometimes stay silent or don't have much to say to each other, I really enjoy her company",4,"My roommate",4,"neighbor",2,2,3.6,4,10,10,10,"6","1","2","PMR",1,"2/13/2023","3/11/2023",21,87.5,"n/a"
"8",8,4.85,1,2.15,3.14285714285714,3.42857142857143,3.71428571428571,3.28571428571429,2.14285714285714,"Sibling, my younger brother by one year.",7,"Cousin, same age but lives further away",3,"College friend, with him a lot most days",4,"Soccer Coach, see him daily but we don't really hold long conversatinos",2,5,4.2,4,6,8,7,"6","5","2",4.85,2.15,3.14285714285714,3.42857142857143,3.71428571428571,3.28571428571429,2.14285714285714,"Sibling, my younger brother by one year.",7,"Cousin, same age but lives further away",3,"College friend, with him a lot most days",4,"Soccer Coach, see him daily but we don't really hold long conversatinos",2,5,4.2,4,6,8,7,"1","I do the calm app or youtube video at least twice a week","3","19","young adult","March 17, 2003","2","20","EN","1","","20815","","Student at Georgetown, current sophomore","5","3","3","1","1","2","2","2","","5","male","White","","NoCollegeDegree","High school graduate or G.E.D.","Student","","Full-time student","Upper","Over $180,000","Roman Catholic","4","Right",0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,"A friend at Georgetown","","","6","5","2",5.1,2.25,2.92857142857143,3.57142857142857,3.14285714285714,3.28571428571429,1.71428571428571,"Mom",7,"Cousin",4,"College friend",6,"Neighbor",4,3,4.8,5.25,7,8,7.5,"6","1","2","LKM",1,"2/13","3/11",24,100,"penicillin, sulfa"
"9",9,4.65,1,1.85,3.25,4,3.71428571428571,3.14285714285714,2.14285714285714,"Sibling ",5,"Aunt",2,"Highschool friend",4,"Elevator friend",1,1,2.6,3,8,8,8,"6","1","2",4.65,1.85,3.25,4,3.71428571428571,3.14285714285714,2.14285714285714,"Sibling ",5,"Aunt",2,"Highschool friend",4,"Elevator friend",1,1,2.6,3,8,8,8,"2","","","19","young adult","9/9/2003","1","15","EN","1","","20057","","Student","2","1","1","1","2","3","3","3","2","4","female","White","","NoCollegeDegree","Some college","Student","","Full-time student","Dont_know","Dont know","Protestant","4","Right",1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,"Poster shared by friend","No. ","2","6","1","2",4.55,2,3.17857142857143,4,3.85714285714286,2.85714285714286,2,"Sister",5,"Grandmother",4,"Roommate",4,"elevator friend ",2,1,3.2,3.75,8,9,8.5,"6","1","2","LKM",1,"2/20","3/18",24,100,"n/a"
"10",10,4.85,1,2.3,4.17857142857143,4.42857142857143,3.85714285714286,4.57142857142857,3.85714285714286,"Mother ",4,"Aunt ",3,"College friend ",4,"Neighbor ",2,1,2.8,3.25,8,8,8,"6","1","2",4.85,2.3,4.17857142857143,4.42857142857143,3.85714285714286,4.57142857142857,3.85714285714286,"Mother ",4,"Aunt ",3,"College friend ",4,"Neighbor ",2,1,2.8,3.25,8,8,8,"1","I practice mantra-based meditation at the John Main Center. ","1","21","young adult","04/02/2001","1","22","EN","1","","20007","","Student ","5","1","1","1","5","2","2","3","","5","female","White","","NoCollegeDegree","Some college","Student","","Full-time student","Lower","Under $5,000","Jewish","4","Right",1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,"The walls of White Gravenor ","","","6","1","2",4.95,1.55,3.82142857142857,3.71428571428571,3.57142857142857,4.42857142857143,3.57142857142857,"mother",4,"Uncle ",5,"roommate and best friend ",4,"neighbor ",4,3,4,4.25,8,8,8,"6","1","2","PMR",1,"2/13/2023","3/11/2023",22,91.67,NA
