SubjectID,3dMVM_GroupEC_patternsim-pain_dACC_p0-001_MainEffect_t,3dMVM_Groupmc_stateEmp_fear_patternsim-anticipation_rightAI_p0-001_Interaction_t,3dMVM_Groupmc_stateEmp_painRating_patternsim-pain_leftAI_p0-001_MainEffect_t,3dMVM_Groupmc_stateEmp_painUnpleasant_patternsim-anticipation_dACC_p0-001_Interaction_t
sub-001,-0.153752,0.070661,0.150787,-0.143897
sub-002,-0.119743,0.331452,0.028458,0.305970
sub-003,0.257178,0.129640,0.272421,-0.051016
sub-004,0.012862,0.542246,0.182502,0.039291
sub-005,0.005472,-0.119880,-0.000267,0.049498
sub-006,0.777703,0.076027,0.065415,-0.126134
sub-007,0.040379,0.343530,0.177143,0.038016
sub-008,0.192488,-0.039806,-0.289644,0.089542
sub-014,0.373251,-0.099624,0.254267,0.048515
sub-018,0.195141,0.291584,0.067541,0.207813
sub-031,0.029697,-0.006011,0.128981,-0.050529
sub-034,0.104488,-0.038511,0.192144,0.067352
sub-039,0.050907,-0.040952,0.001365,0.241411
sub-043,0.078837,0.042441,0.185418,0.019058
sub-050,-0.072948,0.105737,0.034571,0.258731
sub-052,-0.369323,0.026081,-0.060800,-0.218645
sub-053,-0.064601,0.103533,0.192947,-0.001953
sub-057,0.195183,0.337276,-0.000505,-0.013591
sub-058,-0.021863,-0.089412,0.082533,-0.216706
sub-063,0.064301,0.303367,-0.063785,0.130341
sub-064,0.078476,-0.111484,0.344350,0.305899
sub-067,0.150524,0.102075,0.221570,0.206935
sub-071,-0.114361,-0.071506,-0.012458,-0.105706
sub-074,0.717644,-0.390838,0.277278,0.427052
sub-075,0.165040,0.264311,0.024752,-0.207256
sub-076,-0.018813,-0.200130,0.168501,0.303161
sub-081,-0.046321,-0.054977,0.685940,0.472915
sub-088,0.140161,0.442189,-0.150933,-0.152355
sub-102,-0.013506,-0.238010,-0.286858,-0.219090
sub-106,0.045685,-0.142912,-0.022288,0.217262
sub-109,0.206323,-0.159925,-0.032508,0.208036
sub-115,0.045645,-0.001603,0.035307,-0.180168
sub-119,0.187387,0.231911,0.222738,0.402551
sub-122,-0.099049,0.288115,0.171971,0.026927
sub-130,0.000583,-0.238191,0.294430,0.398034
sub-136,0.114324,0.336402,0.116045,0.046068
sub-139,0.238737,-0.200342,-0.000755,-0.517624
sub-149,-0.105466,-0.005984,-0.204818,-0.045465
sub-154,0.039851,-0.249970,0.118805,-0.329316
sub-156,0.257714,-0.036474,0.594301,0.047032
sub-158,0.294056,0.109354,0.253939,0.091229
sub-159,0.562346,-0.298253,0.238428,0.324596
sub-167,0.027225,0.139829,-0.190582,0.204650
sub-169,0.082706,-0.078935,0.108063,0.153836
sub-179,0.311889,-0.105991,0.137744,0.121736
sub-180,0.154595,-0.101113,0.104746,0.047751
sub-187,0.169503,-0.055874,0.069360,-0.043781
sub-191,-0.311000,-0.182276,0.353632,0.150507
sub-192,-0.234256,-0.085900,0.001938,-0.099891
sub-193,0.034883,-0.322145,0.000780,-0.085764
sub-194,0.044596,-0.075626,0.166658,0.016430
sub-195,-0.020895,0.292314,0.039473,0.207426
sub-196,-0.430361,-0.157017,0.145653,-0.169189
sub-197,0.108640,0.457946,0.376334,0.330840
